Serial number,Urdu word,Roman Urdu Words,English meaning of the word
10369,قطعات,qat'aat,"a cutting, segment, section, division"
10370,قلع,qal'a,the name of a mine which is attributed to tin
10371,قوسین,qausain,"brackets, the mark ( )"
10372,قیوم,qayyuum,fixed
10373,لاتعلق,laa-ta'alluq,"unconcerned, irrelevant, detached, desolate, alienated"
10374,لامتناہی,lāmutanāhī,"infinite, endless"
10375,لرز,laraz,"Waver, shake"
10376,لغو,lağv,nonsensical
10378,لگاتی,lagānā,"to affix, attach, join"
10379,لگوا,lagvaa,will cause to be applied or put
10380,لیلیٰ,lailā,"a female given name, Layla or Laila, equivalent to English Leila"
10381,ماجرا,maajraa,"an accident, event, incident, occurrence, adventure"
10384,مالکوں,malkwn,The owners
10385,مامون,maamuun,"rendered secure, safe, preserved, immune, fearless, secure"
10386,مانتی,mānnā,to believe
10387,ماہوار,maah-vaar,"every month, monthly, month to month, of every month"
10388,متذکرہ,mutazakkira,"mentioned, referred (to)"
10389,متکلمین,mutkallimiin,"the expert of epistemology, scholars who specialize in proving religious matters with rational arguments, Metaphorically: eloquent, sweet voice"
10390,متی,mattī,Matthew the Evangelist
10391,محنتی,mihnatī,hard-working
10392,مروہ,mrwh,Death
10393,مسمار,mismaar,"demolished, razed, ruined"
10394,معاوضے,m'awdye,Compensations
10395,معرکے,maa'rake,"expeditions, adventures, contests, battles"
10396,مفروضے,mfrwdye,Assumptions
10397,مماثل,mumaasil,"identical, similar, alike"
10398,مواخذے,muvaaKHaze se chhu.Daanaa,redeem
10399,موسموں,mausamõ,oblique plural of مَوسَم (mausam)
10400,موطا,mwta,Mota
10401,مک,muk,finish
10402,نابود,naa-buud,"annihilated, destroyed, vanished, extinct, non existent, destroyed"
10403,نرخ,nirx,"price, rate, cost"
10404,نشانے,niśāna,"aim, target"
10405,نقدی,naqdii,in cash
10406,ننگی,nãṅgā,"nude, naked"
10407,نڈھال,niDhaal,"helpless, defeated, lackadaisical, languid, weary, worn out, too weary to move"
10408,وارداتوں,wardatwn,Incidents
10411,ٹھکانہ,pataa-Thikaana,"address, dwelling"
10413,پاروں,pahro.n,"for a long time, for hours"
10414,پردوں,pardṽ,"oblique plural of پَرْدَہ (parda, “cover; curtain; cover”)"
10415,پروازوں,parvāz,flight (a trip on a plane)
10416,پروائی,prway'i,Caring
10417,پرکھ,purukh,male
10420,پڑھیے,paṛhnā,to read (ie. a book etc.)
10421,پہنچاتی,phntchati,deliver
10423,چرانے,tchranye,to steal
10424,چناںچہ,tchnantchh,So
10425,چنگاری,chingaarii,"spark, scintilla, firebrand"
10426,چنگیز,cha.ngez,"a Mongol king famous for his tyranny and ruthlessness, Genghis Khan"
10428,ڈھٹائی,ddhttay'i,Audacity
10429,کارساز,kaarsaaz,"doer, one who manages affairs"
10432,کانٹے,kānṭe,plural of کانٹا
10434,کندھا,kandhā,shoulder
10435,کنواں,kuā̃,well (hole in the ground for fetching water)
10436,کھیلیں,khilin,play
10440,گوٹھ,goṭh,"village, settlement"
10441,گھوڑوں,ghoṛõ,oblique plural of گھوڑا (ghoṛā)
10443,ہودہ,hwdh,Hoda
10446,ابتر,abtar,"hazy, indigested, maladjusted, ruined, scattered, worthless"
10448,ابھارا,ubhaaraa,"came up, floated"
10449,ابھرتی,abhrti,emerging
10450,ابھری,abhri,Emerged
10451,اثناء,athna',during
10452,ارسلان,arsalaan,a lion
10453,ازروے,az-ruu.e,"by virtue of, under, by reason of, according to"
10454,استدلالات,astdlalat,Arguments
10455,اسحق,ashq,Isaac
10458,اشتراکیت,iśtirākiyat,"socialism, communism"
10460,اصوات,asvaat,"voices, sounds, noises"
10461,اطالوی,atalwi,Italian
10462,اعدادوشمار,aa'daad-o-shumaar,"database, figures, statistics facts and figures"
10463,الاعلیٰ,ala'lia,The Supreme
10465,الایمان,alaiman,Faith
10468,الحروف,alhrwf,The letters
10469,الرسالہ,alrsalh,Al-Risalah
10470,السجدہ,alsjdh,Al-Sajdah
10471,العظیم,al-'aziim,(literal) the great one
10472,الفطرت,alftrt,Innate
10473,امراء,amra',The nobles
10474,امروز,imroz,today
10475,انتباہ,intibāh,"attention, alert, warning, notice"
10476,آتشزدگی,amaddahtshzdgi,Fire
10478,إذا,a'tha,if
10481,بااختیار,baa-iKHtiyaar,"in authority, wielding power, powerful, authorized"
10483,بدلیں,bdlin,change
10484,برسرپیکار,bar-sar-e-paikaar,"engaged in fight, fighting, pitted against, self-sustained, accomplished"
10486,برگزیدہ,barguzīdah,"chosen, elect, selected"
10487,بقائے,bqay'ye,Remain
10488,بلبل,bulbul,nightingale; bulbul
10490,بناے,banaa.e,fabricated
10492,بھڑکانے,bhrrkanye,to provoke
10493,بینا,biinaa,"discerning, clear-sighted, observant, having sight"
10494,بیچاری,bitchari,The poor
10495,تارڑ,tarrr,Tarr
10496,تعلم,ta'allum,"learning, knowledge, study, being a student"
10497,تفاعلی,tfa'li,interactive
10498,تقاضہ,taqaaza,"demand, pressing settlement, urge, demanding payment, urgency, pressing settlement of a claim"
10499,تقوی,taqvā,taqwa – fear of God; piety; abstinence
10500,تك,tk,single
10501,تلواروں,talvārõ,oblique plural of تَلْوَار (talvār)
10502,تناسخ,tanaasuKH,transmigration
10503,توانائیاں,twanay'ian,Energies
10504,توجیہہ,taujiih,"cause, justification, explanation, causation, excuse, ascribe"
10505,ثبات,sabaat,"continuance, subsistency, durability, permanence, stability, endurance, fixity, immobility"
10506,جائیدادیں,jay'idadin,Properties
10507,جائینگے,jay'ingye,will go
10508,جاگیرداروں,jagirdarwn,The landlords
10509,جدھر,jidhar,"whither, where, wherever, withersoever, there"
10510,جلایا,jalānā,to burn
10511,جوق,jauq,troop or body of men
10512,جڑوں,jrrwn,the roots
10513,جگت,jagat,world
10514,حاضرہ,haazira,"present, existing"
10515,حرمتوں,hrmtwn,Sanctuaries
10516,حنین,hunain,"moan, lament, bemoan, desire, wish"
10517,حواریوں,havāriyō̃,oblique plural of حَوَاری (havārī)
10518,حکموں,hkmwn,Orders
10519,خانقاہوں,khanqahwn,Monasteries
10520,خانقاہی,KHaanqaahii,related to monastery
10521,خریدتے,xarīdnā,"to buy, to purchase"
10522,خطی,KHattii,"of or belonging to or made at, Khat"
10523,دستر,dastar,"a small sickle, a hand-saw"
10524,دھوئیں,dhwy'in,smoke
10525,دھویں,dhuve.n,smoke
10526,دیوتاؤں,diwtaw'n,The gods
10527,ربوبیت,rubuubiyyat,"an attribute of Allah, divinity, providence, quality of being a preserver"
10528,رنجیدہ,ranjiida,"grieved, sad, afflicted, sorrowful"
10529,رواہ,rwah,The way
10530,روحیں,rūhẽ,direct plural of رُوح (rūh)
10532,رکھتیں,rkhtin,keep
10534,زوردار,zordār,"strong, powerful"
10535,زہد,zohd,"piety, continence, mysticism, asceticism, devotion, abstinence"
10536,زہریلی,zhrili,poisonous
10537,زیاد,ziyaad,"increase, augment"
10539,ساجدہ,sajdh,Sajda
10540,ساقط,saaqit,"dead, lost"
10541,سجایا,sajaayaa,"embellished, beautified, decorated"
10542,سرمایے,srmaiye,Capital
10543,سرو,sarv,cypress
10544,سرینگر,sirīnagar,alternative form of سِری نَگَر (sirī nagar)
10545,سفینہ,safiina,"boat, vessel, ship"
10546,سلا,silaa,gleanings of a field
10547,سماعتوں,sma'twn,Hearings
10550,سوزی,sozii,burning
10551,سٹاک,saTaak,"crack (of whip, etc.), whack"
10552,سیکھیں,sikhin,learn
10553,شغف,shaGaf,"ardour, zeal, enthusiasm, inclination, interest, liking, fondness"
10554,شیرازہ,shiiraaza,"arrangement, management, ends of the stitching of a book, integration, alliance"
10555,شیوخ,śaix,"a sheik (and all the meaning that encompass, inc. but not limited to); a leader of an Arab tribe"
10556,صافی,saafii,"cloth to hold a hot pot or kettle, wiper, duster, filter, strainer"
10557,صنعتوں,sn'twn,industries
10558,طلاقوں,talāq,divorce
10559,ظ,zo'e,"The twenty-third letter of the Urdu alphabet, written in the Arabic script; preceded by ط and followed by ع."
10560,ظرف,zaraf,"dish, vessel, container"
10561,عبدا,abdushshukuur,Abdul Shakoor-Proper name
10564,غرضی,Garzii,needy
10565,غرضیکہ,Garaze-ki,"in short, to sum up"
10566,غلاظت,Gilaazat,"filth, offal, dirt, litter"
10567,فاسق,faasiq,"sinner, transgressor, adulterer, fornicator, rake, impious, vicious, scoundrel"
10568,فاش,faash,"apparent, revealed, divulged, known, manifest, obvious"
10569,فدا,fidaa,"dying for, devoted, in love"
10570,فوجیں,fojẽ,"direct plural of فوج (foj, “army”)"
10571,فیہ,phiya,"in him, in it, in that"
10572,قدس,quds,"holiness, the angel Gabriel, holy, pure"
10573,قلوب,quluub,hearts
10574,قندوز,qndwz,Kunduz
10578,لیٹا,litta,lying down
10579,متعلقات,mt'lqat,belongings
10580,محکموں,mhkmwn,departments
10581,محکمۂ,mahkama,"place of judging, court-house, court of law, or justice, or judicature, tribunal, assize"
10582,مراتب,maraatib,"degrees, stages, grades, ranks, status-plural"
10583,مریضہ,mariiza,female patient
10584,مزا,mazaayaa,"excellence, virtues, qualities"
10585,مسابقت,musaabaqat,"competition, contest, getting the start in a race, surpassing, overtaking, overcoming, excelling, straining every nerve against another, happening before, precedence, a race"
10586,مسنون,masnuun,"sharpened, edged, cleaned, polished, legitimate, lawful, legal, valid, circumcised, the act that practiced by Prophet Mohammed or emphasis to do by Sharia"
10587,مصحف,mus.haf,"a book which comprises several sections or chapters, a book, volume, a page, written leaf"
10588,مصرف,masraf,"expense, expenditure, disbursement"
10589,مصروفیت,masruufiyat,"engagement, preoccupation"
10590,مصلح,musleh,"reformer, corrector, adviser"
10591,ملحق,mulhaq,"joined, annexed, contiguous, adjoining, adjacent"
10592,موٹاپا,muṭāpā,fatness; plumpness (ie. the state of being fat)
10593,موکد,mwkd,serious
10596,نالہ,nālah,canal
10597,نر,nar,"male, masculine"
10598,نوآبادیاتی,nwamaddahbadiati,Colonial
10599,نیلامی,niilaamii,"auction, sale, public sale"
10600,واجبات,vaajibaat,"dues, liabilities"
10601,وادیوں,wadiwn,Valleys
10602,وروں,wrwn,The bridegroom
10603,وزنی,vaznii,"burdensome, heavy, landslide, weighty"
10604,وزیروں,vazīr,minister
10607,ٹھان,Thaan,"place, residence"
10608,ٹھنڈک,ThanDak,"coolness, coldness"
10610,پایۂ,pāyā,foot or leg of an object
10611,پرتو,partav,"light, ray"
10612,پرکاش,prakāś,visible
10613,پسندیدگی,pasandiidgii,"approbation, approval, interest, liking"
10614,پلاتی,bin ro.e to maa.n bhii duudh nahii.n pilaatii,"a closed mouth catches no flies, nothing venture, nothing gain"
10615,پهر,phr,At night
10617,پٹائی,pttay'i,beat up
10618,پٹے,paTe,agreed
10619,پڑنا,pa.Dnaa,"Appear, Betide, Encamp, Enter"
10620,پڑھانا,pa.Dhaanaa,make aware
10621,پڑھائے,prrhay'ye,teach
10622,پڑھوں,paṛhnā,to read (ie. a book etc.)
10623,پکارنے,pukārnā,"to call, summon"
10624,پھریں,phirnā,"to wander, sightsee, walk"
10625,پیارا,pyārā,"darling, dear, beloved"
10626,پیتا,pīnā,to drink
10627,پیہم,paiham,"constantly, continuously"
10628,چالوں,tchalwn,moves
10629,چاندنی,chaa.ndnii,"moonlight, moonbeam"
10630,چغتائی,tchghtay'i,Chagatai
10631,چندر,candra,moon
10632,چودھویں,chaudhve.n,fourteenth
10633,چونکا,chau.nkaa,"four, fourth, four times, related to four"
10634,چوکی,caukī,"choky, stool, bench"
10635,چکوال,cakvāl,"Chakwal, a city in Punjab, Pakistan. It is the capital of Chakwal District"
10636,چھپایا,tchhpaia,hidden
10637,ڈوبا,Duubaa,"drowned, sunk, submerged, under water"
10638,ڈھالا,ddhala,mold
10640,کارواں,kārvā̃,caravan
10644,کایا,kaayaa,"appearance, body"
10645,کبریٰ,kubraa,feminine of Akbar
10646,کبیرہ,kabiira,feminine of 'kabir'
10647,کلرک,clerkii,profession of clerk
10651,کوے,kauve,"inflection of کَوّا (kauvā, “crow”):; oblique/vocative singular"
10652,کڑیاں,ka.Diyaa.n,"girder, chains"
10653,کڑے,ka.De,"adamant, anklet, bracelet, rude"
10654,کھنڈرات,khanḍarāt,"formal plural of کَھنْڈَر (khanḍar, “ruin”)"
10655,کھینچتے,khẽcnā,to pull
10657,گرانٹ,miizaaniya graanT,a sum of money given from allocation of income and expenditure for a particular purpose
10658,گرایا,graia,Dropped
10661,گنی,ginī,guinea (gold coin worth twenty-one shillings)
10662,ھند,hnd,The Indian
10664,ہندسے,hindise,"inflection of ہِنْدِسَہ (hindisa, “digit”):; direct plural"
10665,ہووے,hove,happen
10666,ابھرے,paap ubhre par ubhre,an evil deed is bound to be revealed
10667,اذلان,athlan,Humiliation
10668,السطور,bainassutuur,(distance) between the lines
10669,النبویۃ,alnbwia,Prophethood
10670,اموی,umavii,"Umayyad, of Umayyad dynasty of Arabia"
10671,انتہاپسندوں,intihāpasand,extremist
10672,اوپری,uuprii,"outer, external, upper, surplus, exterior, apparent, superficial, not sound or strong, stranger, unknown, small task"
10673,اوڑھنا,o.Dhnaa,"put on, swathe, swaddle, drape oneself, cover or wrap oneself with"
10674,آبا,abbā,father
10676,آسکتے,amaddahsktye,can come
10677,آفرین,aafiriin,"praise, applause, bravo"
10679,آہنی,sa.Dak-e-aahanii,a rail road
10680,ایساہی,isahi,Like that
10682,بالاخر,balakhr,Finally
10683,بایں,ba-ii.n,with this
10684,بدین,badīn,"Badin (a city in Badin district, Sindh, Pakistan)"
10686,براہین,baraahiin,"proofs, arguments"
10688,بسمہ,basma,"golden design, especially on a garment"
10689,بغاوتوں,baġāvatõ,oblique plural of بَغاوَت (baġāvat)
10690,بوچھاڑ,bauchāṛ,"heavy wind and rain, spray"
10691,بھوت,bhūt,ghost
10692,بہیمانہ,bahiimaana,"dreadful, dangerous, ruthless, brutal, beast-like"
10693,تاریخیں,tārīx,date; appointment
10694,تاسیس,taasiis,"founding, establishing, setting up, laying foundation"
10695,تانے,tanye,The warp
10696,ترنم,tarannum,"song, modulation, rhythm"
10697,توآپ,twamaddahp,you
10698,تیمور,taimūr,"a male given name, Taimur or Taimoor, meaning “strong, steel”"
10699,تیوری,tevrii,"a contracted brow, a frown, scowl, glare"
10700,ثریا,surayyā,Pleiades
10701,ثقل,saqal,important and precious things
10702,جارح,jaareh,"aggressor, assailant"
10703,جائو,jay'w,go
10704,جسامت,jasāmat,"size, bulk"
10705,جنونی,junuunii,"mad, insane, mad with"
10706,جگہیں,jagah,"place, site"
10707,جھانکنے,jhā̃knā,to peep
10708,جھٹ,jhaT,"rapidly, promptly, swiftly"
10709,حبس,habs,a prisoner
10710,حسنی,husnaa,"very beautiful, well-favoured"
10711,خشوع,KHushuu',"humbling oneself, humility, meekness"
10712,خندہ,KHanda,"laugh, laughter, smile, a laughing stock"
10713,دبایا,dabaa dabaayaa,"pressed, covered, concealed"
10714,درباری,darbaarii,"courtier, one entitled to a seat in the royal court, one who attends royal court"
10715,درگاہ,dargāh,threshold
10716,درید,dariida,"torn, rent, ragged"
10717,دوارے,dvaare,"at the door, near by,"
10718,دوڑنا,dauṛnā,to run
10719,دکا,dukkaa,shop
10720,دھبے,dhbye,The spots
10721,دیاگیاہے,diagiahye,given
10722,دیدیا,didia,Didya
10723,ردی,raddii,"waste-paper, scraps, worthless, rejected, refuse, unserviceable, throwaway, used and done with, waste"
10724,رزمیہ,razmiya,a story related to war
10725,رسانی,rasaanii,reach
10726,رومان,rūmān,romance
10727,رکاوٹوں,rkawttwn,Obstacles
10728,رہن,rahne,"stay, remain, stop, be, continue to live, reside"
10729,ریخت,reKHta,"the mixed dialect,' the Hindustani or Urdu language (as used by men), old name of the Urdu language"
10730,ریہام,riham,Reham
10731,زبوں,zabuu.n,"disgraced, bad, wicked, evil"
10732,زوری,zorii,"strength, power, vigour"
10733,سدباب,sadd-e-baab,to close the door
10734,سرشت,sariśt,nature
10735,سلب,salb,"negative argument in logic, negation, denial"
10736,سلطانہ,sultaana,"queen, an empress"
10741,سیارہ,sayyāra,planet
10742,شارجہ,śārja,Sharjah (an emirate of the United Arab Emirates)
10743,شبنم,śabnam,"a female given name, Shabnam, from Persian"
10744,شعلے,śu'le,"inflection of شُعْلَہ (śuʻlah, “flame”):; direct plural"
10745,شکرگزار,shukr-guzaar,"thankful, grateful"
10746,شکستہ,shikasta,kind of writing in Persian or Urdu
10747,شہادتوں,śahādat,martyrdom
10748,شیری,sherii,"lion-like, fierce, bold"
10749,شیعوں,shi'wn,The Shias
10750,صدقات,sadaqaat,"plural of 'Sadqa', charity"
10751,صلاۃ,slaa,Salat
10752,صیح,saiha,"a shout, cry, loud voice"
10753,طوطی,totī,parrot
10754,طوق,tauq,"gold collar worn as ornament, iron collar (a symbol of slavery)"
10755,ظہار,zihaar,back
10758,عت,'t,Aat
10759,عریاں,'uryaa.n,"naked, nude, bare, stripped, deprived (of), devoid (of)"
10760,عصا,'asaa,"stick, staff, club, sceptre, mace, rod"
10761,عفو,'afv,"absolution, forgiveness, pardon, remission (of sins)"
10762,عیاض,'iad,Ayaz
10763,غ,ġain,"The twenty-fifth letter of the Urdu alphabet, written in the Arabic script; preceded by ع and followed by ف."
10764,غائبانہ,ghay'banh,Absent
10765,غزنی,Gaznii,"name of a place in Afghanistan, a person from Ghazni,"
10766,فاسد,fāsid,corrupt
10767,فاطمی,faatimii,"Fatimid, descendant (s) of Hazrat Fatima, Prophet Muhammad's daughter, a royal family who ruled Norther Africa and after that the ruled Egypt from 909 AD to 1171 AD, the relate Hazrat Fatima's name with his family and the person from this family called Fa"
10769,فریقوں,friqwn,The parties
10772,قبیلوں,qbilwn,The tribes
10773,قتیل,qatiil,"killed, murdered"
10774,قطعہ,qit'a,"a cutting, segment, section, division"
10775,لانڈھی,landdhi,Landhi
10776,لاہوری,lāhaurī,Lahori (of or relating to Lahore)
10777,ليے,liye,"for, for the sake of, on account of, for the purpose of"
10778,لڑتا,laṛnā,"to fight, combat; battle"
10779,لڑو,laṛnā,"to fight, combat; battle"
10780,مالکی,maalikii,"related to Imam Malik, the one who follow the path of Imam Malik, the Sunni Muslim who follow the path of Imama Malik"
10781,متین,matiin,"grave, serious"
10782,مجتہدین,mjthdin,Mujtahidin
10783,محمدیہ,mhmdih,Muhammadiyah
10784,مدبر,mudabbir,"sagacious, ingenious, wise, skilled in devising, prudent, statesman, thinker, administrator, director"
10785,مدلس,mdls,Madalus
10786,مردپراں,mrdpran,Male
10787,مرکزیت,markaziyyat,"centricity, centrality, centralization, central system"
10788,مشاعرے,msha'rye,Mushairas
10789,مشاورتی,mshawrti,Consultative
10790,مشقوں,maśq,"exercise, drill"
10791,مصلحتوں,mslhtwn,Interests
10792,مطمح,matmah,"aim, object"
10793,معذوروں,m'thwrwn,The disabled
10794,مغالطوں,mghaltwn,Fallacies
10795,مغلوبیت,maGluubiyyat,"the state and condition of being conquered, subjugation, subordination, vassalage"
10796,مفاہمتی,mfahmti,Reconciliation
10797,موٹا,moṭā,"fat, obese, large"
10798,موہن,mohan,"sweetheart, fascinating, one of the names of Lord Krishna"
10799,مکین,makiin,"resident, inhabitant, dweller"
10800,مینو,mīnū,emerald
10801,ناشتے,nāśte,"inflection of ناشْتا (nāśtā, “breakfast”):; direct plural"
10802,نخعی,nkh'i,the core
10803,نشینی,nashiinii,"act of sitting, sitting, seated, use in suffix"
10804,نوادرات,navaadiraat,"rare or singular things, rarities"
10805,نوازش,navāziś,kindness
10806,نوشکی,nūškī,"Nushki (a city in Nushki district, Balochistan, Pakistan)"
10808,نپولین,napoliyan,Napoleon
10809,نچھاور,nichhaavar,"a propitiatory offering, a sacrifice"
10810,نیلے,niile,blue colour
10811,نینو,nain,eye
10813,والنہایہ,walnhaih,Finally
10814,ٹکراؤ,ttkraw',collide
10815,ٹھاکر,Thaakur,"a lord, master, chief (among certain castes of Rajputs), nobility, seigneur"
10816,ٹھنڈ,ThanD,"cold weather, winter"
10817,ٹیکے,ttikye,Vaccines
10818,پرسوں,parsõ,day after tomorrow
10819,پروں,prwn,the wings
10821,پکانے,pkanye,to cook
10822,پھانسیاں,phansian,Executions
10823,پھینکے,phẽknā,to throw
10824,پیاسے,pyāsā,thirsty
10825,پیما,paimaa,"measuring, weighing, measurer"
10828,چمڑے,cham.De,leather
10829,چھائے,tchhay'ye,Shadow
10830,چھٹائی,tchhttay'i,Dismissal
10831,چھڑک,chhi.Dak,sprinkle
10832,چھکے,chakke,inflection of چَھکّا (chakkā):; direct plural
10836,ڈکیتی,Dakaitii,"dacoity, robbery"
10837,ڈگر,Dagar,"way, path, track, road"
10838,کتابیات,kitaabiyaat,"bibliography, list of sources annexed at the end of a research publication"
10840,کلمۂ,kalima,word
10841,کمائے,kmay'ye,earn
10842,کناروں,kinārõ,oblique plural of کِنارَہ (kināra)
10844,کھجوریں,khjwrin,Dates
10845,کھلتے,khltye,open up
10846,کھولتے,kholnā,to open
10847,کھوپڑی,khopa.Dii,"brain, understanding, intellectual capacity, skull, cranium, head"
10849,کیمیا,kīmiyā,chemistry
10851,گزارہ,guzāra,"living, subsistence"
10852,گلستان,gulistān,"rose garden, flower garden, garden, flower-bed"
10853,گلیاں,galiyā̃,direct plural of گَلی (galī)
10854,گوئیاں,gwy'ian,Goies
10855,گڑ,guṛ,jaggery
10856,گھات,ghaat,"ambush, opportune moment (for attack, etc.), strike, blow, snare, trick,"
10857,گھمبیر,ghambiirtaa,depth
10858,ہارنے,harnye,to lose
10859,ہلاکو,halāk,a killer
10860,یاں,yaa.n,"here, mostly used in poetry"
10861,یوحنا,yūhannā,Any of the New Testament figures named John
10862,یومیہ,yaumiya,daily
10864,یے,alif se ye tak,"from A to Z, from beginning to end"
10865,اجلاسوں,ajlaswn,Meetings
10866,اجناس,ajnaas,"goods, especially agricultural produce, grains, kinds, sorts"
10867,احتشام,ehtishaam,"magnificence, pomp, ostentation, glory, grandeur"
10868,ادویہ,adviya,spices
10869,ار,ur,"bosom, heart"
10870,اسراف,isrāf,waste
10874,التوا,iltivaa,"postponement, adjournment, abeyance, delaying"
10875,الجملہ,filjumla,"in short, in all, in essence, upon the whole, in brief, on the whole, in substance"
10876,الرجال,alrjal,men
10877,القابات,alqabat,Titles
10878,القدوس,al-qudduus,(lexical) the Holy
10880,اوربے,awrbye,Orbay
10881,اولادوں,awladwn,Descendants
10882,آزاری,amaddahzari,Harassment
10883,آسکے,amaddahskye,can come
10884,آلۂ,amaddahlh',device
10886,اڑان,uṛān,flight
10889,بالمعروف,amr-bil-maa'ruuf,the command to carry out good deeds
10890,بخشتا,bkhshta,Sorry
10891,بخوشی,ba-KHushii,"with pleasure, gladly, cheerfully, joyfully"
10892,برجیس,birjiis,"breeches, the planet Jupiter"
10893,برسراقتدار,brsraqtdar,Incumbent
10894,برطرفی,bar-tarafii,dismissal
10895,بستری,bstri,hospitalization
10896,بلاواسطہ,bilaa-vaasta,"without reason without a medium, direct, directly"
10898,بلوں,bullā,bubble
10899,بندھ,ba.ndh,"bond, bandage, string"
10900,بور,bor,bored
10903,بچتا,bacnā,to be saved
10904,بکریاں,bakrī,nanny goat (a female goat)
10905,بھجوانے,bhjwanye,to send
10907,بیانیوں,bianiwn,Narratives
10908,بیلجیم,beljiyam,"Belgium (a country in Western Europe that has borders with the Netherlands, Germany, Luxembourg and France)"
10909,بیں,bai.n,left
10910,تتبع,tatabbo',following in (someone's) footsteps
10911,تحریم,tahriim,"forbidding, prohibition"
10912,تعریفیں,t'rifin,Definitions
10913,تمسخر,tamasKHur,"buffoonery, joking, jesting, ridicule, jest, fun"
10914,تولہ,twlh,Tola
10915,تئیس,ty'is,twenty three
10916,تپش,tapish,"warmth, heat, burning, burning sensation, hotness"
10917,تھوک,thūk,spit
10918,ثبوتوں,thbwtwn,Evidences
10919,جماعۃ,namaaz-e-jamaa'at,collective prayers
10920,جھاڑو,jhāṛū,broom
10922,جیومیٹری,jiomeṭrī,geometry
10923,حافظہ,hāfiza,memory
10924,حرفی,harfii,"literal, relating to letters"
10925,حماس,hamās,Hamas (a Palestinian Islamist militant group and political organization)
10926,حیاتین,hayātīn,vitamin
10927,خ,xe,"The tenth letter of the Urdu alphabet, written in the Arabic script; preceded by ح and followed by د."
10928,خریدیں,xarīdnā,"to buy, to purchase"
10929,خطیر,xatīr,"too much, a lot, excess"
10930,خمیر,xamīr,"leaven, yeast"
10931,دانہ,dāna,grain
10932,دایہ,dāya,"midwife, nurse"
10934,درستی,durustii,"correctness, accuracy, exactness"
10935,دروں,daruu.n,"inner, internal, interior, any internal part of the body, soul, heart"
10936,دقیق,daqiiq,difficult
10937,دلہا,dulhā,"alternative form of دُولھا (dūlhā, “bridegroom; groom”)"
10938,دوپٹے,dopaṭṭe,inflection of دوپَٹَّہ (dopaṭṭa):; direct plural
10939,دھاوا,dhaavaa,"attack, assault, invasion, raid"
10940,دہائیاں,dhay'ian,Decades
10941,دینگے,dingye,will give
10942,دیواری,diivaarii,"wall, related to wall, the foundation or base of wall"
10943,ذوالحجہ,zul-hijja,the last month of the Mohammadan year (on the ninth and tenth day of which is the Hajj and festival of Baqar-Eid)
10944,رضامند,razaa-mand,"agree, willing, consenting, acquiescing, compliant"
10945,رضاکاروں,rdakarwn,Volunteers
10946,روتی,ronā,"to cry, weep"
10947,رویا,royaa,"dream, vision"
10950,زرمبادلہ,zar-e-mubaadala,foreign exchange
10951,زریں,zarrii.n,"golden, made of gold, sparkling"
10952,زیا,zayaada,"many, more, surplus, in excess, excessive, additional"
10955,سرائے,sray'ye,The inn
10957,سلسلوں,silsila,"chain, shackle"
10958,سماوی,samāvī,sky blue
10959,سمن,saman,Jasmine
10960,سمیٹے,smittye,wrap up
10962,سوانحی,savaanihii,"memoirs, biographical accounts"
10963,سوتا,sotā,fountain
10966,سپین,spin,white
10967,سکھائی,skhay'i,taught
10968,سہواً,sahvan,"by an oversight, through inadvertence, inadvertently, by mistake, mistakenly, erroneously"
10969,شدگان,shdgan,those who
10970,شفا,śifā,"healing, recovery"
10971,شفاعت,shafaa'at,"request, entreaty"
10972,صحاح,sahaah,"a famous dictionary of Arabic, whose author is Ismail Johri, It is a summary of the famous dictionary of Sahah"
10973,صوفیاء,swfia',Sufis
10974,صہبائی,shbay'i,Sahbai
10975,طلال,tlal,Talal
10976,ظلمت,zulmat,"darkness, region of darkness, dark place"
10977,عا,'aanii,Oh
10978,عامیانہ,'aamiyaana,"common, popular"
10979,عائلی,'ay'li,family
10980,علا,'la,Alla
10981,علانیہ,'alaaniya,"manifest, open"
10982,علمانہ,laa-'ilmaana,Scholarly
10983,عمائدین,'may'din,Elders
10984,عمرانیات,'imraaniyyaat,sociology
10985,عوارض,'avaariz,"diseases, incidental diseases, incidents, reasons, causes, accidents"
10986,عیسی,ʻīsā,Jesus
10987,غذائیت,ghthay'it,Nutrition
10988,غذائیں,ghthay'in,Foods
10989,غذر,ghthr,Ghazr
10991,فراخ,faraaKH,"wide, spacious, capacious, extensive, large, broad"
10992,فصلوں,fasl,"crop, farm"
10994,قاطع,qaate',"a person or thing that cuts or breaks, cutting instrument, (a pair of) scissors, sheers"
10995,قبہ,qubba,"dome, rounded vault, cupola"
10996,قضیے,qdiye,Cases
10997,قلعی,qal'ii,"a coating of tin given to cooking utensils, plating, gilding, silver coating, whitewash, varnish, gross"
10999,قہقہہ,qahqahah,"laughter, loud laughter"
11000,كچھ,kuchh,"some, few, any, whatever, something, anything, little (quantity), poisonous (thing)"
11001,لافانی,lā fānī,"immortal, eternal"
11003,لونگ,lau.ng,"clove,"
11004,ماچس,mācis,matches
11005,متجاوز,mutajaaviz,"transgressing, exceeding limits, overstepping, overshooting, going beyond"
11006,متشکل,mtshkl,composed
11007,مجدد,mjdd,again
11008,محافظوں,muhāfizõ,"oblique plural of مُحافِظ (muhāfiz, “protector; guard”)"
